legacy	rom
ç³yéz¯èþ$	paḍḍānu
ç³yéz…	paḍḍāṁ
ç³yézÐèþ#	paḍḍāvu
ç³yézÆæÿ$	paḍḍāru
ç³yézÆÿ$$	paḍḍāyi
G°²…sìýMìü	enniṁṭiki
GÌê/GsêÏ	elā/eṭlā
AÌê/AsêÏ	alā/aṭlā
C§æþ$Vø¯èþ…yîþ	idugōnaṁdī
AsêÏV>	aṭlāgā
AÌêV>	alāgā
Væü$Ææÿ$¢…yæþ$	gurtuṁḍu
‹Ü/^Œþ	s/c
ç³¯èþ$²	pannu
ç³…sìý	paṁṭi
A/&Æÿ$$¯èþ	ina/-a/yina
A/&B	a/-ā
¡çÜ$Mæü$¯èþ²¨	tīsukunnadi
°Ë$a¯èþ²¨	nilcunnadi
Mö¯èþ²¨	konnadi
ç³yæþz¨	paḍḍadi
E¯èþ²	unna
¡çÜ$Mæü$¯èþ²	tīsukunna
°Ë$a¯èþ²	nilcunna
Mö¯èþ²	konna
ç³yæþz	paḍḍa
Æÿ$$¯èþ	yina
´ù&Æÿ$$¯èþ	pōyina
C¯èþ	ina
H/&Äôý$	ē/-yē
Äôý$	yē
AÄŒý$	ay
E¯Œþ	un
J¯Œþ	on
Ðéâæý$Ï	vāḷḷu
Ðèþ_a¯èþÐéyæþ$	vaccinavāḍu
Ðèþ_a¯èþÐéÆæÿ$	vaccinavāru
Ðèþ_a¯èþÐéâæý$å	vaccinavāḷḷu
ÐèþçÜ$¢¯èþ²Ñ	vastunnavi
ÐèþçÜ$¢¯èþ²Ðéyæþ$	vastunnavāḍu
ÐèþçÜ$¢¯èþ²ÐéÆæÿ$	vastunnavāru
ÐèþçÜ$¢¯èþ²Ðéâæý$å	vastunnavāḷḷu
Ðèþ^óþaÑ	vaccēvi
Ðèþ^óþaÐéyæþ$	vaccēvāḍu
Ðèþ^óþaÐéÆæÿ$	vaccēvāru
Ðèþ^óþaÐéâæý$å	vaccēvāḷḷu
¯èþ¨	nadi
…¨	ṁdi
»Z	bō
Ðèþ^óþa	vaccē
Ðèþ^óþaÐéÆæÿ…	vaccēvāraṁ
çÜ…Ðèþ™èþÞÆæÿ…	pōyina saṁvatsaraṁ
ÐéÆæÿ…	pōyina vāraṁ
